Meta_Publisher,Meta_datetime,Meta_title,Meta_link,Meta_desc,Published_Date,Title,Article,Summary,Authors,Keywords
Deccan Herald,,Why it won't be easy for BJP to act against Brij Bhushan Sharan Singh,https://www.deccanherald.com/national/why-it-wont-be-easy-for-bjp-to-act-against-brij-bhushan-sharan-singh-1183218.html,"... Nagar in Uttar Pradesh's Gonda district and it was BJP Lok Sabha member and president of Wrestling Federation of India (WFI) Brij Bhushan Sharan Singh,...",2023-01-21 14:47:21+05:30,Why it won't be easy for BJP to act against Brij Bhushan Sharan Singh,"On Saturday, the senior National Open Ranking Wrestling Tournament began at Nandini Nagar in Uttar Pradesh's Gonda district and it was BJP Lok Sabha member and president of Wrestling Federation of India (WFI) Brij Bhushan Sharan Singh, who was supposed to have stepped aside until the allegations of ''sexual assault'' of female wrestlers were probed by an oversight committee, inaugurated the championship.

Singh was on the stage along with a couple of local BJP legislators and office bearers of the WFI and oversaw the arrangements of the tournament almost undeterred by the turn of events in Delhi apparently hinting that he was not bothered by the allegations and also that he did not expect his party to favour action against him.

Also Read: Will hang myself if sexual harassment charges against me are proven: WFI chief

BJP leaders here also, preferring anonymity, said that it would not be 'easy' to act against the firebrand leader, who was known to speak his mind even if it was against the party leadership or the BJP government in the state.

He had sharply criticised his own government, when floods hit several eastern and central districts in the state, including Gonda, Baharaich, Ayodhya and some others. ''The people have been left on the mercy of the god,'' he had then remarked, criticising the state government for not being able to provide succor to the flood-affected people.

''Singh is not originally a BJP worker.....he does not belong to the party cadre.....he has his own support base in Gonda, Baharaich, Balrampur, Shravasti and Ayodhya districts and is not dependent on us to win elections,'' said a UP BJP leader while speaking to DH here on Saturday.

Incidentally, Singh, who currently is an MP from Kaiserganj Lok Sabha seat in Baharaich district, had earlier represented Balrampur and Gonda LS seats as well. He had also got his wife Ketki Singh elected to Lok Sabha when he was in jail under TADA in 1996. His son Prateek Vardhan Singh is also an MLA.

Sources in the BJP said that Singh was not the kind of person who would take any action against him in his stride. That he had earlier been with other parties and might not hesitate to ditch the saffron party made it even harder for the party to act against him.

''The next Lok Sabha polls are not very far away and we can not afford to lose a leader like him (Singh),'' the BJP leader added.","He had sharply criticised his own government, when floods hit several eastern and central districts in the state, including Gonda, Baharaich, Ayodhya and some others.
Incidentally, Singh, who currently is an MP from Kaiserganj Lok Sabha seat in Baharaich district, had earlier represented Balrampur and Gonda LS seats as well.
He had also got his wife Ketki Singh elected to Lok Sabha when he was in jail under TADA in 1996.
Sources in the BJP said that Singh was not the kind of person who would take any action against him in his stride.
''The next Lok Sabha polls are not very far away and we can not afford to lose a leader like him (Singh),'' the BJP leader added.","['Sanjay Pandey', 'Dhns', 'Lucknow']","['sabha', 'easy', 'bhushan', 'baharaich', 'leader', 'gonda', 'act', 'lok', 'sharan', 'wfi', 'wrestling', 'wont', 'singh', 'brij', 'bjp', 'party']"
The Indian Express,,How ‘shaktishaali’ Brij Bhushan Sharan Singh has ducked mud so far,https://indianexpress.com/article/political-pulse/brij-bhushan-sharan-singh-sexual-harassment-allegation-wrestlers-8393282/,"In 1996, when he did not contest, the party gave a ticket to his wife Ketaki Devi Singh, and she too won. A constant presence at wrestling tournaments, be it...",2023-01-20 10:30:37+05:30,How ‘shaktishaali’ Brij Bhushan Sharan Singh has ducked mud so far,"In the wrestling arena or out of it, fighting as a candidate of the BJP or the Samajwadi Party, in the contest as candidate or with his wife as proxy, Brij Bhushan Sharan Singh has rarely lost a bout. But that streak might end now, with the growing allegations of sexual harassment against him by women wrestlers, who are demanding Singh’s resignation as the president of the Wrestling Federation of India (WFI).

A wrestler who tumbled into politics via the Ram Janmabhoomi movement, and who continues to face a case in the Babri Masjid demolition, Singh, 66, has kept his feet planted on the ground courtesy the image of a “dabangg” leader – or a “shaktishaali (powerful)” one, as he likes calling himself — who doesn’t need the BJP as much as the BJP needs him in at least half-a-dozen districts around his native Gonda in Uttar Pradesh.

Singh is six-term MP (once from the SP), who has represented Gonda, Balrampur and now moved onto Kaiserganj, while his son Prateek Bhushan is into his second term as MLA from Gonda Sadar.

This formidable record also explains why despite several scraps with the party, including the government of UP Chief Minister Yogi Adityanath, there has been no attempt to touch his 10-year tenure as the WFI president and as vice-president of the United World Wrestling-Asia.

Local leaders talk about the grand celebrations he holds every year on his birthday on January 8, where students shortlisted via a talent search examination are rewarded with motorcycles, Scooty and cash. This year, the event in Gonda and adjoining districts such as Lucknow, Ayodhya, Bahraich, Shrawasti, Balrampur and Barabanki saw the participation of Union Minister of State for Finance Pankaj Chaudhary.

BJP leaders also mention the goodwill Brij Bhushan Singh has earned due to his active association with more than 50 educational institutions, including engineering, pharmacy, education and law, that that he helped set up in Bahraich, Gonda, Balrampur, Ayodhya and Shrawasti districts.

“He has developed an empire in these districts through his clout. He gives a fee waiver to those students who are unable to pay. So, if he wins elections, it is both because of his clout and goodwill,” says a BJP leader from Gonda.

Advertisement

At the same time, BJP leaders say, the party has kept its distance by not giving him any position within the organisation and Union government despite his repeated poll wins. His own team of workers look after his constituency including day-to-day issues that might come up.

“Singh only takes the symbol of the party. He wins elections on his own,” says another party leader.

The confidence means Singh has got away with incidents such as his criticism of the Adityanath government during the floods in the state in October last year. He accused the administration of being ill-prepared, not doing enough for relief, and said people had been left “bhagwan bharose (to the mercy of god)”. Singh also said that the existing government did not tolerate criticism and took it personally.

Advertisement

While the Opposition raised the remarks to attack the Adityanath government, Singh did not earn any rebuke from the BJP.

He has praised SP leader Azam Khan, one of the BJP’s biggest bugbears in the state, as “a mass leader”, and threatened Maharashtra Navnirman Sena (MNS) chief Raj Thackeray against visiting Ayodhya till he had apologised publicly for “humiliating” north Indians in Mumbai. The BJP had been courting the MNS leader as an ally at the time of topsy-turvy politics in Maharashtra.

In private, the BJP had dismissed Singh’s remarks as publicity stunts.

It was due to his association with the Ram Janmabhoomi movement and his influence in the areas around Ayodhya that Singh initially came to the notice of the BJP. The party first fielded him from the Gonda Lok Sabha seat in 1991. He won, and never looked back. In 1996, when he did not contest, the party gave a ticket to his wife Ketaki Devi Singh, and she too won.

A constant presence at wrestling tournaments, be it national or international, senior or junior, Singh can be spotted with a microphone in hand, overseeing bouts, often shouting out instructions to referees, stopping and starting bouts and, at times, even throwing the rule book at judges. When he can’t be there, he is known to “monitor the proceedings virtually”.

Advertisement

Whatever comes of the serious allegations Singh is now facing, that is almost certain to change.","So, if he wins elections, it is both because of his clout and goodwill,” says a BJP leader from Gonda.
He wins elections on his own,” says another party leader.
AdvertisementWhile the Opposition raised the remarks to attack the Adityanath government, Singh did not earn any rebuke from the BJP.
In 1996, when he did not contest, the party gave a ticket to his wife Ketaki Devi Singh, and she too won.
AdvertisementWhatever comes of the serious allegations Singh is now facing, that is almost certain to change.","['Lalmani Verma', 'Var Template_Content', 'Sso_Login_Box', 'Xwelcome Backorenter The Email Address Or Mobile Number Associated With Your Account To Sign In. Show Passwordsign Innew To The Indian Express Signupxcreate Your Account It Is Quick', 'Easy.Or Show Passwordnextvalidate Otpregisteralready Have An Account', 'Signin', 'Sso_Social_Box', 'Sign In Withgmailfacebookapple', 'Var Follow_Widget_Data', 'Af_Article_Count']","['far', 'bhushan', 'leaders', 'leader', 'gonda', 'mud', 'ducked', 'sharan', 'shaktishaali', 'wrestling', 'singh', 'ayodhya', 'brij', 'state', 'wins', 'bjp', 'party']"
ThePrint,,"‘Don of all dons, murderer, wrestling reformer’ — WFI chief & MP Brij Bhushan’s colourful life",https://theprint.in/india/don-of-all-dons-murderer-wrestling-reformer-wfi-chief-mp-brij-bhushans-colourful-life/1323788/,"BJP MP & Wrestling Federation of India chief Brij Bhushan Sharan Singh has been accused of sexual assault. Some call him a 'reformer' for the sport, others say...",2023-01-19 12:21:01+00:00,"‘Don of all dons, murderer, wrestling reformer’ — WFI chief & MP Brij Bhushan’s colourful life","New Delhi: BJP MP from Kaiserganj Brij Bhushan Sharan Singh’s ‘crime-o-meter’ on MyNeta.info is in red. He has admitted to a murder on video and described himself as a “shaktishaali” (powerful wrestler) in the past.

Speaking to ThePrint, some referred to him a ‘bahubali’ (strong-armed), and ‘gundo ka gunda’ (gangster of gangsters).

Up until yesterday, the President of the Wrestling Federation of India (WFI), Singh was known as a true reformer and strongman for the sport in the country.

Now, ace wrestlers — including Olympic medalists Bajrang Punia and Sakshi Malik — have branded him a ‘predator’ and accused him of ‘sexual assault’ and aiding sexual harassment of female wrestlers.

Also read: Wrestlers continue protest against BJP MP WFI chief Brij Bhushan — ‘want to meet Modi or Shah’

A history sheeter

Singh is not new to controversy. He was arrested in the mid-1990s under Terrorist and Disruptive Activities (Prevention) Act (TADA) for allegedly helping associates of gangster Dawood Ibrahim and spent several months in Tihar jail.

According to his election affidavit, he has four pending cases against him. Charges against him include causing voluntary harm to public servant (section 332 of the Indian Penal Code, or IPC), robbery (section 392), attempt to murder (section 307) and illegal payments in connection with an election (section 171 H).

In 2004, after shifting to Balrampur, Singh was replaced by Ghanshyam Shukla by the BJP as the party’s candidate from Gonda. Shukla was killed in a road accident which, some alleged, was actually “murder”. In an interview to Scroll.in, he said Prime Minister Atal Bihari Vajpayee had called and said “Marwaa diyaa (you had him killed)”.

A six-time MP from Gonda, Kaiserganj and Balrampur constituencies in Uttar Pradesh, Singh is currently serving as MP from Kaiserganj.

In his younger days he was reportedly a motorcycle thief, and even part of a liquor mafia in the 1980s.

He was also involved in a gunfight in 1993 and was acquitted by a local Gonda court in December last year in the case. He had been accused of attempting to murder Vinod Kumar Singh, also known as Pandit Singh, a former minister who was once friends with Singh.

A law graduate, Singh did his LLB from Dr RML Avadh University, Faizabad, in 1985 and currently his entire family is involved in politics. His wife Ketki Devi Singh is the president of Gonda Zila Panchayat and his son, Prateek Bhushan Singh, is an MLA from Gonda Sadar seat.

In 2004, Brij Bhushan’s 22-year-old son Shakti Singh had allegedly shot himself at their ancestral home in Nawabganj. In a note found, he had reportedly blamed his father for being selfish and never looking after him or his siblings: “You were never a good father. You never cared for your children, and only ever cared about yourself. Our future looks dark. There’s no reason why I should stay alive.”

The netaji of wrestling

Members of India’s wrestling fraternity say Singh is not only a “mafia don” but the “don of all mafia dons” in Uttar Pradesh.

“I hate mafias. I make videos against gangster culture regularly. But Sharan Singh has been the gunda that wrestling needs. Without him, it would be very difficult to discipline wrestlers or keep them in line,” former Sports Authority of India coach Ajit Singh told ThePrint over the phone. “What he has done for wrestling is unparalleled,” he added.

Singh was a wrestler during his school days and, since early days of his politics, has been championing the cause of the sport in Uttar Pradesh, once the mecca of the sport in the country. Singh’s grip over the sport in India comes mainly from his efforts to organise dangals (bouts) in the area using generous sums of money.

“Netaji has organised junior and national championships under his watch multiple times. Before mat wrestling came into vogue, he used to organise dangals at his own expense,” said Amar Kishore Kashyap, BJP president of Gonda district.

A profile in The Indian Express notes how Brij Bhushan used to actively participate in local tournaments, suspending referees and reigning supreme as the ultimate judge. According to the report, he still runs the show at dangals and had even suspended a railways coach for being “too animated” on the sidelines in 2022.

Players reportedly used to touch his feet and seek blessings before playing bouts at national championships.

Somvir Rathee, a wrestler who has joined the protests against Singh, however thinks the politician is out there to harm wrestling more than he is there for love of the game. “Anyone who even enters the akhada once in their life starts calling himself a pehelwaan. He knows nothing about the sport,” Rathee told ThePrint.

The young wrestler says that not only has Singh exercised control over the WFI as president of the body for almost a decade and a half — elected unopposed — he also controls other federations via his family. “Bihar wrestling federation is headed by his son-in-law, while his son controls the Uttar Pradesh federation,” alleged Rathee.

ThePrint couldn’t independently confirm these claims.

Rathee also said that Singh tends to “swear a lot” and is often rude. Singh’s short temper and lack of respect for players can be seen in a video clip of him slapping a wrestler going viral.

“His actions have made wrestlers indulge in politics. Should we play rajneeti–rajneeti (politics) or wrestle?” asked Rathee.

(Edited by Zinnia Ray Chaudhuri)

Also read: ‘Truth needs to come out’ — wrestlers’ protest against WFI chief triggers a political storm","Up until yesterday, the President of the Wrestling Federation of India (WFI), Singh was known as a true reformer and strongman for the sport in the country.
Also read: Wrestlers continue protest against BJP MP WFI chief Brij Bhushan — ‘want to meet Modi or Shah’A history sheeterSingh is not new to controversy.
A six-time MP from Gonda, Kaiserganj and Balrampur constituencies in Uttar Pradesh, Singh is currently serving as MP from Kaiserganj.
In 2004, Brij Bhushan’s 22-year-old son Shakti Singh had allegedly shot himself at their ancestral home in Nawabganj.
(Edited by Zinnia Ray Chaudhuri)Also read: ‘Truth needs to come out’ — wrestlers’ protest against WFI chief triggers a political storm",['Shubhangi Misra'],"['wrestler', 'life', 'reformer', 'dons', 'mp', 'murderer', 'wfi', 'wrestling', 'don', 'chief', 'singh', 'uttar', 'president', 'sport', 'politics', 'colourful', 'wrestlers', 'gonda']"
Siasat.com,,Four criminal cases pending against WFI chief Brij Bhushan Sharan Singh,https://www.siasat.com/four-criminal-cases-pending-against-wfi-chief-brij-bhushan-sharan-singh-2507293/,"New Delhi: Wrestling Federation of India chief and BJP MP from UP's Kaiserganj Brij Bhushan Sharan Singh, who has always been embroiled in controversies...",2023-01-20 13:49:15+00:00,Four criminal cases pending against WFI chief Brij Bhushan Sharan Singh,"New Delhi: Wrestling Federation of India chief and BJP MP from UP’s Kaiserganj Brij Bhushan Sharan Singh, who has always been embroiled in controversies since he entered politics in 1990, still faces four pending cases, with serious charges including causing voluntary harm to public servant, robbery, attempt to murder and illegal payments in connection with an election.

As per Singh’s election affidavit, three of the cases against him are pending in Allahabad court and one in a Lucknow court. As per record, out of four pending cases, charges were framed against him in two cases and one of the cases includes charges of attempt to murder and under the Arms Act.

However, Singh, who is facing allegations of sexual harassment as WFI chief, has been acquitted in over 30 criminal cases, some of them registered even before his political journey began.

According to the history sheet of the 65-year-old Singh accessed by IANS, there were a total of 38 criminal cases against him registered in Ayodhya, Nawabganj, Faizabad, and Delhi.

“A total of 17 cases were registered in Ayodhya, 12 in Faizabad, 8 in Nawabganj and one in Delhi. The cases were registered under several sections of IPC which even included murder, attempt to murder, and under the UP Gangsters Act, Arms Act among others,” according to the history sheet.

Singh was booked four times under UP Gangster Act till 1993.

On December 20, 2022, he was acquitted by an MP-MLA court in Gonda district of all charges in a 29-year-old case related to the attack on former minister in the Samajwadi Party government Vinod Kumar Singh alias Pandit Singh in 1993.

The six-time MP from Gonda, Kaiserganj and Balrampur constituencies in Uttar Pradesh was once also charged under Terrorist and Disruptive Activities (Prevention) Act.

He was also arrested along with senior BJP leaders L.K. Advani, Murli Manohar Joshi, Kalyan Singh and others after demolition of the Babri Masjid at Ayodhya on December 6, 1992. He was acquitted in the matter by the court in 2020.

There were even controversies in the election of WFI President in 2012. Brij Bhushan had defeated Deepender Singh Hooda, son of former Haryana Chief Minister Bhupender Singh Hooda in a re-election.

Olympian wrestlers Bajrang Punia, Sakshi Malik, Vinesh Phogat and other top Indian grapplers are protesting against the Wrestling Federation of India (WFI) at the Jantar Mantar in the national capital after Vinesh levelled serious allegations of sexual harassment of female wrestlers against the sports body’s coaches and President.

Vinesh had alleged that she was subjected to mental harassment by Singh.

Last year, the WFI President slapped a wrestler on stage for asking him questions, the video of which went viral on social media.","As per Singh’s election affidavit, three of the cases against him are pending in Allahabad court and one in a Lucknow court.
As per record, out of four pending cases, charges were framed against him in two cases and one of the cases includes charges of attempt to murder and under the Arms Act.
However, Singh, who is facing allegations of sexual harassment as WFI chief, has been acquitted in over 30 criminal cases, some of them registered even before his political journey began.
“A total of 17 cases were registered in Ayodhya, 12 in Faizabad, 8 in Nawabganj and one in Delhi.
Brij Bhushan had defeated Deepender Singh Hooda, son of former Haryana Chief Minister Bhupender Singh Hooda in a re-election.",['Indo-Asian News Service'],"['cases', 'bhushan', 'court', 'murder', 'chief', 'pending', 'sharan', 'criminal', 'wfi', 'registered', 'singh', 'charges', 'brij', 'harassment']"
Onmanorama,,Union govt suspends all activities of Wrestling Federation of India,https://www.onmanorama.com/sports/other-sports/2023/01/21/wrestling-federation-india-assistant-secretary-vinod-tomar-suspension.html,... the Wrestling Federation of India (WFI) in the wake of the allegations of sexual harassment and corruption against its chief Brij Bhushan Sharan Singh.,2023-01-21 00:00:00,Union govt suspends all activities of Wrestling Federation of India,"The union government has suspended all activities of the Wrestling Federation of India (WFI) in the wake of the allegations of sexual harassment and corruption against its chief Brij Bhushan Sharan Singh.

The suspension is the view of the government's decision to appoint an Oversight Committee to investigate the allegations.

All ongoing ranking tournaments will also be suspended.

It is understood that the Committee will have the power to take decisions on matters concerning Indian wrestling.

Earlier, the Sports Ministry suspended WFI assistant secretary Vinod Tomar.

The ministry also cancelled the Open championship, which was to begin in Sharan's UP stronghold of Gonda.

Sources in the ministry said Tomar's presence will be ""detrimental to the development of this high-priority discipline"".

Some of the top wrestlers of India -- Vinesh Phogat, Bajrang Punia, Sakshi Malik and Ravi Dahiya -- are at the forefront of the protests against the WFI chief.

According to sources, the ministry will announce the names of its oversight committee members on Sunday.

(With PTI inputs)

","The union government has suspended all activities of the Wrestling Federation of India (WFI) in the wake of the allegations of sexual harassment and corruption against its chief Brij Bhushan Sharan Singh.
The suspension is the view of the government's decision to appoint an Oversight Committee to investigate the allegations.
It is understood that the Committee will have the power to take decisions on matters concerning Indian wrestling.
Earlier, the Sports Ministry suspended WFI assistant secretary Vinod Tomar.
According to sources, the ministry will announce the names of its oversight committee members on Sunday.",['Onmanorama Staff'],"['govt', 'federation', 'suspends', 'wrestlingearlier', 'union', 'oversight', 'ministry', 'india', 'wfi', 'wrestling', 'committee', 'suspended', 'wake', 'activities', 'wrestlers']"
Outlook India,,"Accused Must Resign For Fair Probe: AAP's Dhanda Targets WFI Chief, Haryana Minister Over Sexual Harassment Allegations",https://www.outlookindia.com/national/accused-must-resign-for-fair-probe-aap-s-dhanda-targets-wfi-chief-haryana-minister-over-sexual-harassment-allegations-news-255380,"Wrestling Federation of India (WFI) president and Lok Sabha MP Brij Bhushan Sharan Singh has accused of sexually harassing top grapplers, while a woman...",2023-01-21 07:22:59+05:30,"Accused Must Resign For Fair Probe: AAP's Dhanda Targets WFI Chief, Haryana Minister Over Sexual Harassment Allegations","AAP leader Anurag Dhanda on Friday lashed out at the BJP-led governments at the Centre and in Haryana over allegations of sexual harassment against its MP and WFI chief Brij Bhushan Sharan Singh and state minister Sandeep Singh, saying the duo must resign to ensure a fair investigation.

Wrestling Federation of India (WFI) president and Lok Sabha MP Brij Bhushan Sharan Singh has accused of sexually harassing top grapplers, while a woman coach from Haryana had recently lodged sexual harassment complaint against Sandeep Singh.

""In Haryana and in Delhi, BJP leaders (Sandeep Singh and Brij Bhushan) are not ready to leave their posts. When the accused continue to hold their posts, how will a fair investigation take place,"" Dhanda told reporters here.

Sandeep Singh had given up his Sports Department portfolio after the woman coach lodged a police complaint, but he continues to be Minister in the M L Khattar government holding the charge of Printing and Stationery Departments.

When these medallists win Olympic and other medals, they are praised, but when they are telling the nation what they have faced, the BJP leaders are raising questions, he said.

Dhanda said if the BJP fails to take action against the two, people of Haryana will not welcome Union Home Minister Amit Shah during his proposed visit to Gohana in Sonipat later this month.

""If daughters of Haryana are harassed, if they are insulted like this and if the BJP does not take any action in Sandeep Singh or Brij Bhushan cases, then people of Haryana will not welcome but oppose Amit Shah during his visit. We want to warn them,"" said Dhanda.

Shah is scheduled to address a public meeting in Gohana, Sonipat on January 29.

Dhanda said Sandeep Singh should have been sacked immediately after a complaint was lodged against him.

But he also continues to be the president of the Haryana Olympic Association, so under these circumstances how could a fair probe be expected, the AAP leader said.

Meanwhile, Kavita Dalal, a former weightlifter, came out in support of the grapplers who have levelled allegations against the WFI chief, and claimed that she shifted to professional wrestling due to similar harassment she faced in 2008.

""Such circumstances were created before me as well,"" she claimed.","AAP leader Anurag Dhanda on Friday lashed out at the BJP-led governments at the Centre and in Haryana over allegations of sexual harassment against its MP and WFI chief Brij Bhushan Sharan Singh and state minister Sandeep Singh, saying the duo must resign to ensure a fair investigation.
Wrestling Federation of India (WFI) president and Lok Sabha MP Brij Bhushan Sharan Singh has accused of sexually harassing top grapplers, while a woman coach from Haryana had recently lodged sexual harassment complaint against Sandeep Singh.
""In Haryana and in Delhi, BJP leaders (Sandeep Singh and Brij Bhushan) are not ready to leave their posts.
When the accused continue to hold their posts, how will a fair investigation take place,"" Dhanda told reporters here.
Dhanda said Sandeep Singh should have been sacked immediately after a complaint was lodged against him.",['View All'],"['probe', 'bhushan', 'haryana', 'resign', 'sexual', 'targets', 'fair', 'dhanda', 'lodged', 'wfi', 'singh', 'brij', 'bjp', 'minister', 'harassment', 'sandeep']"
Times of India,,Brij Bhushan Sharan Singh to attend AGM of Wrestling Federation,https://m.timesofindia.com/videos/sports/other-sports/brij-bhushan-sharan-singh-to-attend-agm-of-wrestling-federation/videoshow/97202952.cms,Brij Bhushan Sharan Singh is likely to attend the annual general meeting of the Wrestling Federation of India on 22 January. He will attend the meeting even...,None,Brij Bhushan Sharan Singh to attend AGM of Wrestling Federation,"Jan 21, 2023, 07:10PM IST

Source: Times Now

Brij Bhushan Sharan Singh is likely to attend the annual general meeting of the Wrestling Federation of India on 22 January. He will attend the meeting even after being asked to step aside. However, WFI officials claim that Bhushan is 'not actively' involved in the decision-making process of the body. He has been accused of sexual harassment by female wrestlers.","Jan 21, 2023, 07:10PM ISTSource: Times NowBrij Bhushan Sharan Singh is likely to attend the annual general meeting of the Wrestling Federation of India on 22 January.
He will attend the meeting even after being asked to step aside.
However, WFI officials claim that Bhushan is 'not actively' involved in the decision-making process of the body.
He has been accused of sexual harassment by female wrestlers.",[],"['step', 'federation', 'bhushan', 'meeting', 'times', 'sharan', 'attend', 'wfi', 'wrestling', 'singh', 'brij', 'wrestlers', 'agm']"
Mid-Day,,Vinesh Phogat urges PM to sack WFI president Brij Bhushan Sharan Singh,https://www.mid-day.com/sports/other-sports/article/vinesh-phogat-urges-pm-to-sack-wfi-president-brij-bhushan-sharan-singh-23266187,"In a startling revelation, a crying Vinesh Phogat on Wednesday alleged that Wrestling Federation of India (WFI) President and BJP MP Brij Bhushan Sharan Singh...",2023-01-19 07:44:00+05:30,Vinesh Phogat urges PM to sack WFI president Brij Bhushan Sharan Singh,"Vinesh, a world championship medallist and Olympian, also claimed that several coaches at the national camp in Lucknow have also exploited women wrestlers, adding that there are a few women at the camp who approach wrestlers at the behest of the WFI President

Vinesh Phogat

In a startling revelation, a crying Vinesh Phogat on Wednesday alleged that Wrestling Federation of India (WFI) President and BJP MP Brij Bhushan Sharan Singh has been sexually exploiting women wrestlers for many years and sought the intervention of Prime Minister and Home Minister for his removal.

Also read: Wrestling World C'ships: Vinesh Phogat makes it to the repechage round

Vinesh, a world championship medallist and Olympian, also claimed that several coaches at the national camp in Lucknow have also exploited women wrestlers, adding that there are a few women at the camp who approach wrestlers at the behest of the WFI President.

This story has been sourced from a third party syndicated feed, agencies. Mid-day accepts no responsibility or liability for its dependability, trustworthiness, reliability and data of the text. Mid-day management/mid-day.com reserves the sole right to alter, delete or remove (without notice) the content in its absolute discretion for any reason whatsoever","Vinesh, a world championship medallist and Olympian, also claimed that several coaches at the national camp in Lucknow have also exploited women wrestlers, adding that there are a few women at the camp who approach wrestlers at the behest of the WFI PresidentVinesh PhogatIn a startling revelation, a crying Vinesh Phogat on Wednesday alleged that Wrestling Federation of India (WFI) President and BJP MP Brij Bhushan Sharan Singh has been sexually exploiting women wrestlers for many years and sought the intervention of Prime Minister and Home Minister for his removal.
Also read: Wrestling World C'ships: Vinesh Phogat makes it to the repechage roundVinesh, a world championship medallist and Olympian, also claimed that several coaches at the national camp in Lucknow have also exploited women wrestlers, adding that there are a few women at the camp who approach wrestlers at the behest of the WFI President.
This story has been sourced from a third party syndicated feed, agencies.
Mid-day accepts no responsibility or liability for its dependability, trustworthiness, reliability and data of the text.
Mid-day management/mid-day.com reserves the sole right to alter, delete or remove (without notice) the content in its absolute discretion for any reason whatsoever",['Top Authors'],"['bhushan', 'world', 'urges', 'phogat', 'women', 'olympian', 'sack', 'camp', 'sharan', 'wfi', 'wrestling', 'president', 'singh', 'national', 'brij', 'vinesh', 'wrestlers']"
India Today,,Wrestlers vs WFI: Brij Bhushan Sharan Singh to step aside till probe is completed - India Today,https://www.indiatoday.in/sports/other-sports/video/wrestlers-vs-wfi-brij-bhushan-sharan-singh-to-step-aside-till-probe-is-completed-2324438-2023-01-21,"Farmers joined top wrestlers in protest against Wrestling Federation of India chief Brij Bhushan Singh, accused of sexual harassment and intimidation, and gave...",2023-01-21 00:00:00,Wrestlers vs WFI: Brij Bhushan Sharan Singh to step aside till probe is completed,"The big focus of this episode of Newstrack is on the Karnataka assembly election results and its impact on the national picture. So, what impact could the Karnataka assembly poll results will have on 2024 Lok Sabha elections? Watch as panelists discuss this and more on the show.","The big focus of this episode of Newstrack is on the Karnataka assembly election results and its impact on the national picture.
So, what impact could the Karnataka assembly poll results will have on 2024 Lok Sabha elections?
Watch as panelists discuss this and more on the show.",[],"['sabha', 'assembly', 'newstrack', 'poll', 'completed', 'picture', 'wfi', 'panelists', 'probe', 'results', 'sharan', 'vs', 'singh', 'brij', 'wrestlers', 'step', 'watch', 'karnataka', 'impact', 'till']"
India Today,,"No question of revenge against protesting wrestlers, can't resign with criminal tag: WFI President Brij Bhushan - India Today",https://www.indiatoday.in/sports/other-sports/video/brij-bhushan-sharan-singh-exclusive-cant-quit-wfi-president-criminal-tag-2323904-2023-01-19,"Speaking to India Today, Wrestling Federation of President Brij Bhushan Sharan Singh said he is ready to hang himself if allegations of sexual harassment...",2023-01-19 00:00:00,"No question of revenge against protesting wrestlers, can't resign with criminal tag: WFI President Brij Bhushan","The big focus of this episode of Newstrack is on the Karnataka assembly election results and its impact on the national picture. So, what impact could the Karnataka assembly poll results will have on 2024 Lok Sabha elections? Watch as panelists discuss this and more on the show.","The big focus of this episode of Newstrack is on the Karnataka assembly election results and its impact on the national picture.
So, what impact could the Karnataka assembly poll results will have on 2024 Lok Sabha elections?
Watch as panelists discuss this and more on the show.",[],"['sabha', 'assembly', 'newstrack', 'poll', 'tag', 'protesting', 'picture', 'wfi', 'panelists', 'question', 'cant', 'resign', 'results', 'criminal', 'wrestlers', 'revenge', 'president', 'watch', 'karnataka', 'impact']"
