title,media,date,datetime,desc,link,img
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/exposure-of-public-sector-general-insurance-companies-in-adani-group-014-per-cent-of-their-total-aum-govt,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/adani-group-repays-215-billion-loan-well-ahead-of-31-march-deadline,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/adani-group-prepays-over-rs-7000-crore-worth-share-backed-loans,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/complete-investigation-in-adani-hindenburg-matter-within-two-months-sc-to-sebi,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/truth-will-prevail-gautam-adani-welcomes-sc-order-on-hindenburg-issue,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/adani-hindenburg-row-supreme-court-refuses-to-accept-centres-sealed-cover-suggestion-for-expert-panel,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/seeking-answers-here-are-three-petitions-before-the-supreme-court-in-the-adani-hindenburg-controversy,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/soros-speaks-on-adani-says-modi-is-no-democrat-blames-him-for-violence-against-muslims,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/commentary/adani-enterprises-q3-numbers-are-solid-will-it-help-regain-investor-confidence,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/amit-shah-nothing-to-hide-or-be-afraid-of-in-hindenburg-adani-row-says-supreme-court-seized-of-the-matter,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/sebi-to-supreme-court-probe-underway-on-hindenburg-claims-against-adani-group-no-significant-impact-on-market-due-to-crash-in-its-share-price,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/reports/post-hindenburg-airport-road-port-and-green-hydrogen-plans-at-stake-as-adani-group-slashes-capex,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/sc-must-avoid-meddling-in-adani-case-the-markets-deliver-better-justice-on-their-own,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/lic-chairman-m-r-kumar-says-adani-investments-in-green-no-plan-to-exit-the-stocks,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/politics/adani-prospored-during-congress-rule-in-gujarat-one-cant-become-pm-by-growing-beard-maharashtra-minister-slams-rahul-gandhi,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/adani-ports-to-prepay-rs-5000-crore-debt-in-a-bid-to-improve-leverage-ratio-and-address-market-concerns,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/why-the-adani-endgame-may-not-be-the-disaster-his-enemies-wish-for,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/hindenburg-adani-row-more-than-meets-the-eye,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/what-explains-adani-groups-u-turn-on-the-fpo,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/why-adani-should-thank-hindenburg-he-can-now-focus-on-the-right-things,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/adani-enterprises-scraps-fully-subscribed-fpo-says-going-ahead-with-issue-morally-wrong-money-to-be-returned-to-investors,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/five-lessons-to-learn-from-adani-share-debacle,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/lic-says-exposure-in-adani-group-less-than-1-per-cent-of-total-assets-under-management,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/commentary/analysing-adanis-detailed-response-to-hindenburgs-allegations-will-it-satisfy-investors-and-salvage-fpo,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/commentary/what-could-the-hindenburg-report-mean-for-adani-group,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/malicious-hindenburg-report-timed-to-damage-upcoming-fpo-adani-group,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/truth-will-prevail-gautam-adani-welcomes-sc-order-on-hindenburg-issue,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/hindenburg-adani-row-more-than-meets-the-eye,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/malicious-hindenburg-report-timed-to-damage-upcoming-fpo-adani-group,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/news-brief/newsalert-ls-pm-5-2,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/infrastructure/no-pressure-from-adani-group-to-sell-mumbai-airport-sale-was-done-to-repay-debt-raised-for-bengaluru-airport-gvks-reddy,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/commentary/adani-enterprises-q3-numbers-are-solid-will-it-help-regain-investor-confidence,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/business/what-explains-adani-groups-u-turn-on-the-fpo,
NA,SwarajyaMag,,,NA,https://swarajyamag.com/world/its-time-to-bring-soros-down-a-notch-billionaires-dont-get-to-play-god-with-countries,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/adani-enterprises-fpo-oversubscribed-amid-hindenburg-attack-details/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/ihc-abu-dhabi-adani-enterprises-fpo/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/forbes-adani-speculation-evidence-bought-own-fpo/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/supreme-court-plea-hindenburg-adani-group/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/adani-group-rubbishes-hindenburg-research-allegations-as-baseless-misinformation/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/nse-places-adani-firms-under-additional-surveillance-mechanism-framework/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/amit-shah-adani-hindenburg-report-controversy-opposition/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/rahul-gandhi-rakes-up-adani-controversy-in-parliament/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-group-hires-us-legal-giant-wachtell-to-fight-against-hindenburg-research/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/adani-hindenburg-saga-congress-left-using-it-has-right-wing-divided-on-twitter/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-group-clarifies-grant-thornton-for-company-audits-market-rumour/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/the-adani-group-fall-would-only-expose-adani-wont-trigger-a-crash-like-lehman-brothers/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-hindenburg-row-sc-rejects-plea-seeking-to-gag-order-on-media/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-group-hires-us-firm-grant-thornton-to-conduct-independent-audit/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/03/adani-hindenburg-supreme-court-sebi-conclude-investigation-2-months/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/03/gautam-adani-plans-to-sell-stake-in-ambuja-cement-for-450-mn-to-reduce-debt/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/03/adani-group-cfo-jugeshinder-robbie-singh-mock-bill-ackman-hindenburg-report/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/tmc-mp-mahua-moitra-sbi-adani-group-fake-news/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-investors-fpo-money-returned-investors/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/adani-group-hindenburg-report-short-selling-points-to-ponder/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/sebi-responds-to-adani-group-stock-volatility-says-committed-to-ensuring-market-integrity/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/congress-which-supported-adani-group-now-cries-foul-over-hindenburg-report/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/sbi-chairman-reposes-faith-in-adani-group-says-exposure-0-9-per-cent/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/03/bill-ackman-adani-group-hindenburg-bailout-svb/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/sc-to-hear-congress-leader-jaya-thakurs-plea-seeking-prosecution-of-adani-group/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/jairam-ramesh-congress-george-soros-adani-hindenburg-issue-was-politically-motivated/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/03/who-are-members-of-committee-set-up-by-sc-to-review-the-regulatory-mechanism-in-the-adani-hindenburg-case/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/adani-hindenburg-row-supreme-court-rejects-centres-sealed-cover-suggestions-over-expert-panel/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/narendra-modi-adani-group-george-soros/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/conflict-interest-attack-on-india-adani-group-responds-to-claims-of-hindenburg-research-report-with-a-413-page-response/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/altnews-co-founder-mohammed-zubair-attacks-ndtv-over-adani-netizens-remind-him-of-his-own-convenient-silence/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/bjps-smrti-irani-george-soros-adani-remarks-designated-economic-war-criminal-weaken-india/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/modi-adani-hindenburg-george-soros-regime-change-opposition-economy/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/understanding-fpo-escrow-transactions-details/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/george-soros-colour-revolution-india-adani-modi/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/gautam-adami-drops-to-7th-position-on-the-worlds-richest-people-list/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/02/finance-minister-nirmala-sitharaman-adani-fpo-withdrawl-india-perception/,
NA,OpIndia,,,NA,https://www.opindia.com/2023/01/adani-enterprises-fpo-oversubscribed-amid-hindenburg-attack-details/,
