title,media,date,datetime,desc,link,img
"Explainer: Who is behind Hindenburg, the company that is ...",Reuters,"an 27, 2023",,"Short-seller Hindenburg Research disclosed on Wednesday short positions in India's Adani Group, citing potential stock manipulation and accounting fraud in a...",https://www.reuters.com/markets/who-is-behind-hindenburg-company-that-is-shorting-adani-2023-01-25/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
TotalEnergies Exposed To Alleged Adani Fraud Via Joint Ventures Worth Billions,Forbes,"an 27, 2023",,"In recent weeks Gautam Adani was near the top of the global rich list, with a fortune estimated in excess of $130 billion. Then this week came a raft of...",https://www.forbes.com/sites/christopherhelman/2023/01/27/totalenergies-exposed-to-alleged-adani-fraud-via-joint-ventures-worth-billions/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani shares fall as short seller firm Hindenburg announces short position,CNBC,"an 25, 2023",,"“After extensive research, we have taken a short position in Adani Group Companies through U.S.-traded bonds and non-Indian-traded derivative instruments,”...",https://www.cnbc.com/2023/01/25/adani-group-hindenburg-short-position.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani Group: Asia's richest man hits back at 'con' allegations,BBC,"an 26, 2023",,Indian billionaire Gautam Adani faces critical report before family-run company goes public. By Nikhil Inamdar and...,https://www.bbc.com/news/business-64408720,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"For Hindenburg Research, Adani Group's case a man-made disaster in making",The Economic Times,"an 27, 2023",,"Last week, a report from Hindenburg Research on Indian tycoon Gautam Adani's business empire sparked a USD 51 billion sell-off in shares of his group companies,...",https://economictimes.indiatimes.com/news/company/corporate-trends/for-hindenburg-research-adani-group-is-a-man-made-disaster-in-the-making/articleshow/97379337.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani says examining legal options against Hindenburg,Times of India,"an 26, 2023",,"NEW DELHI: A day after Adani Group's shares took a beating as Hindenburg Research made damaging allegations against it, the group on Thursday said it is...",https://timesofindia.indiatimes.com/business/india-business/adani-says-examining-legal-options-against-hindenburg/articleshow/97340368.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"IHC, ADIA Among Bidders for Adani's $2.5 Billion Share Sale",Bloomberg News,"an 24, 2023",,"Adani Stocks Drop After Hindenburg Alleges 'Brazen' Fraud. Abu Dhabi-based IHC, which invested almost $2 billion in Adani's companies last year, wants to...",https://www.bloomberg.com/news/articles/2023-01-25/ihc-adia-among-bidders-for-adani-s-2-5-billion-share-sale,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Adani Enterprises FPO opens today: Analysts, brokers cite growth potential, some flag valuation",The Economic Times,"an 27, 2023",,"The flagship entity of the Adani Group is selling shares in a price band of ₹3,112-3,276 apiece, with an option to ""buy now, pay later"" by way of subscribing...",https://economictimes.indiatimes.com/markets/stocks/news/adani-enterprises-fpo-analysts-brokers-cite-growth-potential-some-flag-valuation/articleshow/97362046.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Gautam Adani enters business of cricket, buys Ahmedabad Women IPL team for ₹1289 cr | Mint",Mint,"an 25, 2023",,"As the Board of Cricket Council of India (BCCI) earned ₹4,669.99 crore from the bidding of teams for the Women's Premier League (WPL), the Adani Sportsline...",https://www.livemint.com/companies/news/gautam-adani-enters-business-of-cricket-buys-ahmedabad-women-ipl-team-for-rs-1289-cr-11674654429759.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Stocks to Watch: Adani Group, Tata Motors, Dr.Reddy's, DLF ...",Business Standard,"an 27, 2023",,"Reddy's, DLF, Airtel, IGL. Stocks to Watch: Adani Enterprises FPO and Earthstahl & Alloys IPO opens for subscription on Friday. Shares of Adani Group companies...",https://www.business-standard.com/article/markets/stocks-to-watch-today-adani-group-tata-motors-dr-reddy-dlf-airtel-bajaj-auto-ril-123012700083_1.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Ambuja Cements, ACC shares crash as Adani Group stocks extend decline | Mint",Mint,"an 27, 2023",,"Shares of Ambuja Cement, ACC Ltd plunged along with Adani Group stocks in Friday's trading session as stocks of all 10 listed companies related to the...",https://www.livemint.com/market/stock-market-news/ambuja-cements-acc-shares-crash-as-adani-group-stocks-extend-decline-11674807017155.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Should investors sell Adani stocks or buy the dip? Sanjiv Bhasin answers,The Economic Times,"an 27, 2023",,What should an investor do with the Adani Group of stocks at this point of time? Should they look at selling and booking profits or is it a time to buy the...,https://m.economictimes.com/markets/expert-view/should-investors-sell-adani-stocks-or-buy-the-dip-sanjiv-bhasin-answers/articleshow/97370425.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Gautam Adani's group plans to invest in mining, petrochem in Azerbaijan | Mint",Mint,"an 26, 2023",,"Billionaire Gautam Adani's group is looking to invest in petrochemical, mining, and metallurgical industries among others in Azerbaijan. Adani Group and...",https://www.livemint.com/companies/news/gautam-adani-s-group-plans-to-invest-in-mining-petrochem-in-azerbaijan-11674728447804.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
World's Richie Rich: Gautam Adani drops down to 4th position in the world richest persons list,The Economic Times,"an 24, 2023",,Adani Group founder with a total net worth of USD 120 billion ranked at fourth place on the Bloomberg Billionaires Index. Adani's net worth fell by USD 872...,https://m.economictimes.com/news/company/corporate-trends/worlds-richie-rich-gautam-adani-no-more-the-3rd-richest-person-in-world/articleshow/97272117.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
