title,media,date,datetime,desc,link,img
Why it won't be easy for BJP to act against Brij Bhushan Sharan Singh,Deccan Herald,"an 21, 2023",,"... Nagar in Uttar Pradesh's Gonda district and it was BJP Lok Sabha member and president of Wrestling Federation of India (WFI) Brij Bhushan Sharan Singh,...",https://www.deccanherald.com/national/why-it-wont-be-easy-for-bjp-to-act-against-brij-bhushan-sharan-singh-1183218.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
How ‘shaktishaali’ Brij Bhushan Sharan Singh has ducked mud so far,The Indian Express,"an 20, 2023",,"In 1996, when he did not contest, the party gave a ticket to his wife Ketaki Devi Singh, and she too won. A constant presence at wrestling tournaments, be it...",https://indianexpress.com/article/political-pulse/brij-bhushan-sharan-singh-sexual-harassment-allegation-wrestlers-8393282/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"‘Don of all dons, murderer, wrestling reformer’ — WFI chief & MP Brij Bhushan’s colourful life",ThePrint,"an 19, 2023",,"BJP MP & Wrestling Federation of India chief Brij Bhushan Sharan Singh has been accused of sexual assault. Some call him a 'reformer' for the sport, others say...",https://theprint.in/india/don-of-all-dons-murderer-wrestling-reformer-wfi-chief-mp-brij-bhushans-colourful-life/1323788/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Four criminal cases pending against WFI chief Brij Bhushan Sharan Singh,Siasat.com,"an 20, 2023",,"New Delhi: Wrestling Federation of India chief and BJP MP from UP's Kaiserganj Brij Bhushan Sharan Singh, who has always been embroiled in controversies...",https://www.siasat.com/four-criminal-cases-pending-against-wfi-chief-brij-bhushan-sharan-singh-2507293/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Union govt suspends all activities of Wrestling Federation of India,Onmanorama,"an 21, 2023",,... the Wrestling Federation of India (WFI) in the wake of the allegations of sexual harassment and corruption against its chief Brij Bhushan Sharan Singh.,https://www.onmanorama.com/sports/other-sports/2023/01/21/wrestling-federation-india-assistant-secretary-vinod-tomar-suspension.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Accused Must Resign For Fair Probe: AAP's Dhanda Targets WFI Chief, Haryana Minister Over Sexual Harassment Allegations",Outlook India,"an 21, 2023",,"Wrestling Federation of India (WFI) president and Lok Sabha MP Brij Bhushan Sharan Singh has accused of sexually harassing top grapplers, while a woman...",https://www.outlookindia.com/national/accused-must-resign-for-fair-probe-aap-s-dhanda-targets-wfi-chief-haryana-minister-over-sexual-harassment-allegations-news-255380,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Brij Bhushan Sharan Singh to attend AGM of Wrestling Federation,Times of India,"an 21, 2023",,Brij Bhushan Sharan Singh is likely to attend the annual general meeting of the Wrestling Federation of India on 22 January. He will attend the meeting even...,https://m.timesofindia.com/videos/sports/other-sports/brij-bhushan-sharan-singh-to-attend-agm-of-wrestling-federation/videoshow/97202952.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Vinesh Phogat urges PM to sack WFI president Brij Bhushan Sharan Singh,Mid-Day,"an 19, 2023",,"In a startling revelation, a crying Vinesh Phogat on Wednesday alleged that Wrestling Federation of India (WFI) President and BJP MP Brij Bhushan Sharan Singh...",https://www.mid-day.com/sports/other-sports/article/vinesh-phogat-urges-pm-to-sack-wfi-president-brij-bhushan-sharan-singh-23266187,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers vs WFI: Brij Bhushan Sharan Singh to step aside till probe is completed - India Today,India Today,"an 21, 2023",,"Farmers joined top wrestlers in protest against Wrestling Federation of India chief Brij Bhushan Singh, accused of sexual harassment and intimidation, and gave...",https://www.indiatoday.in/sports/other-sports/video/wrestlers-vs-wfi-brij-bhushan-sharan-singh-to-step-aside-till-probe-is-completed-2324438-2023-01-21,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"No question of revenge against protesting wrestlers, can't resign with criminal tag: WFI President Brij Bhushan - India Today",India Today,"an 19, 2023",,"Speaking to India Today, Wrestling Federation of President Brij Bhushan Sharan Singh said he is ready to hang himself if allegations of sexual harassment...",https://www.indiatoday.in/sports/other-sports/video/brij-bhushan-sharan-singh-exclusive-cant-quit-wfi-president-criminal-tag-2323904-2023-01-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"WFI President has sexually exploited women wrestlers, I have received death threats: Vinesh Phogat",Telegraph India,"an 18, 2023",,"Brij Bhushan Sharan Singh, 66, was elected President of WFI for a third consecutive term in February 2019. Sitting beside Vinesh, Tokyo Olympics bronze...",https://www.telegraphindia.com/sports/wrestling-federation-of-india-president-brij-bhushan-sharan-singh-and-coaches-at-womens-camp-have-sexually-exploited-wrestlers-vinesh-phogat/cid/1910669,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Brij Bhushan Sharan calls Sports Minister to clarify allegations made against him - India Today,India Today,"an 19, 2023",,President of the Wrestling Federation of India (WFI) and BJP MP Brij Bhushan Sharan Singh called sports minister Anurag Thakur and clarified the allegations...,https://www.indiatoday.in/sports/other-sports/video/brij-bhushan-sharan-calls-sports-minister-to-clarify-allegations-made-against-him-2323619-2023-01-19,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Braj Bhushan opens Wrestling Champs in Gonda,The Statesman,"an 21, 2023",,"Notably, the sports ministry on Friday asked Brij Bhushan Sharan Singh not to remain active as the Wrestling Federation of India's president following the...",https://www.thestatesman.com/india/braj-bhushan-opens-wrestling-champs-in-gonda-1503148708.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Wrestlers' protest: WFI chief Brij Bhushan speaks to Amit Shah, shares his stand on the allegations",The Economic Times,"an 20, 2023",,... Wrestling Federation of India (WFI) chairman Brij Bhushan Sharan Singh has now spoken to Union Home Minister Amit Shah and shared his stand on the...,https://economictimes.indiatimes.com/news/india/wrestlers-protest-wfi-chief-brij-bhushan-speaks-to-amit-shah-shares-his-stand-on-the-allegations/videoshow/97166184.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
